aspect,np,review
操作のしやすさ,1,PS4パッドで全く問題無し
操作のしやすさ,1,適当にキーボードをガチャガチャしていてもそれなりにスタイリッシュにアクションしてくれるのが素晴らしいのである。適当に連打しているだけでも前に進めたりする。連打していても結構カッコよくアクションしてコンボが決まってくれるので、なかなか「俺って上手いじゃないの」なんて悦に浸ることができる。
操作のしやすさ,1,操作性や難易度もカジュアルゲームとして適切に調整されており、プレイヤーが不満に思う所を除去してあると思う。
操作のしやすさ,1,アクション自体はキビキビ動いて楽しいのですが
操作のしやすさ,1,アクションは爽快、操作を覚えてダメージを受けないと非常に楽しくなってくる（ただすぐ死ぬ）
操作のしやすさ,1,アクションが軽快で操作性がいいことに尽きると思います。始めたての頃のガチャプレイでも派手でスピード感のある攻防が楽しめ、それでいてテクニックを駆使してタイムをつめたくなるような技術介入の余地も十分。
操作のしやすさ,1,操作があまりに複雑という感じではありません。
操作のしやすさ,1,操作はキーボードでWASD移動でマウスカーソルAIMか、コントローラーかを選択可能。アクションは、通常攻撃、特殊攻撃、魔弾、ダッシュ、祈りの5種類。
操作のしやすさ,1,操作は快適。ダッシュの無敵時間が長くクールタイムも非常に短いのでステージを駆け回って戦える。
操作のしやすさ,1,アクション下手でもチマチマ死に戻りながらお金等々溜めてキャラレベル上げてじわじわ強くなれます
操作のしやすさ,1,高速できびきび動く主人公は動かしていてストレスがない
操作のしやすさ,1,キーボード+マウスでプレイしている。このゲームのオートエイム機能はゲームパッドと相性が良いようで、おそらく総合的なパフォーマンスもゲームパッドの方が高くなるのだろうが、別にキーボード+マウスであっても、私のようなゲーム下手なおっさんがラスボスは倒せるくらいには遊ぶことが可能だ。
操作のしやすさ,1,操作レスポンスが非常に良く、あらゆる行動をキャンセルしながら高速戦闘が可能。非常にサクサク進めることが可能。
操作のしやすさ,1,オートロックアシスト付きなので初期状態でもコンボが繋がりやすく、適当にボタンを押しても連続攻撃が決まるところは爽快感があって良いです。
操作のしやすさ,1,コントローラーも予備を買っておいた方がいいかもしれないです。ダッシュ連打しすぎてチャタるようになりました♡
操作のしやすさ,1,超軽快な操作
操作のしやすさ,1,操作性もグラフィックもBGMも文句なし、当然バグも無し、ダッシュで各ステージを快適に走り回れる。
操作のしやすさ,1,アクションの気持ち良さだろう、素早く動き、攻め、避け、もちろん守る選択もできる
操作のしやすさ,1,アクションが苦手でも、向上心さえあればクリアはできると思います
操作のしやすさ,1,ちょっと戦闘方法の選択肢が多いアクションゲームだと思えば悪くないです。
操作のしやすさ,1,操作も慣れてきて敵の処理も早くなると爽快感もあって楽しくなる
操作のしやすさ,1,何も考えずに始めても、ゲーム内で少しずつ教えてくれるので迷いにくい
操作のしやすさ,1,戦闘中にプレイヤーがやるべきことは非常にシンプル。動き、攻撃しているだけで爽快感のある点は、まさにDeadCellsの後発として恥じることのない精度を持った優れたアクション要素を持っている。
操作のしやすさ,1,攻撃モーションからほぼ何時でも回避行動に移行可能。回避直後の連携攻撃も組み合わさりハイスピードな戦闘が繰り広げられる。それに加え、回避行動は少々の障害物や壁、奈落等をすり抜けられるので、回避行動が妨げられてボコボコにされるといった事故が起きにくい。
操作のしやすさ,1,爽快感のあるアクション
操作のしやすさ,1,操作面でのストレスを感じることがなかったため、とても熱中できた
操作のしやすさ,1,アクションが直感的で大変気持ちよく、道中拾う強化次第で同じ武器でも多様な全く違う使用感が生まれるのが非常に良い。
操作のしやすさ,0,基本的に一本道です。
操作のしやすさ,1,雰囲気とアイコンと数字で大体どんな家出スキルなのかは理解できるので日本人の家出でも大丈夫だった。アクション面は非常に爽快でキビキビと動いてくれる。
操作のしやすさ,1,"アクション部分で上達を実感できて達成感がある"
操作のしやすさ,1,操作性がよくて、ストレスを感じさせないようしていると思いました。攻撃中にダッシュ、ダッシュ中に攻撃といった動作のつながりとか。ダッシュで壁や穴を越えたり、ダッシュ先が立てなかったら立てるところにちょっとずれてくれるとか。敵の攻撃は分かりやすい予備動作があって、範囲攻撃は範囲が見えるので、避けてもらおうという意図は感じます。
操作のしやすさ,1,操作が小難しくないのに爽快感がある
操作のしやすさ,1,操作していて気持ちいいんですよね。ボタンを押した時のプレイヤーキャラクターの動きや効果音に違和感がない。難易度の適切さ:-1 進捗の明確さ:-1 目的の明確さ:-1 視聴覚の魅力:ビジュアルもBGMも良し。
操作のしやすさ,1,コントローラー推奨で爽快感を味わえる動きがある
操作のしやすさ,1,キャラが思い通りにキビキビ動くのでストレスフリーでアクションできて楽しい
操作のしやすさ,1,動かしているだけで楽しく、奥深いアクションであり
操作のしやすさ,1,ボタンを連打するだけでもそれなりに楽しめるので、気分転換にちょうど良いゲームかと思います。
操作のしやすさ,1,キャラクターを操作していてサクサク動くので爽快感がある
操作のしやすさ,1,覚えやすいのが楽しいです
操作のしやすさ,-1,"動き回ってクリックかキー連打で攻撃しつつ避ける必要があり、同種のゲームと比べてもだいぶ忙しい。慣れないうちはよくわからないまま進んでいくか死ぬだろう。  "
操作のしやすさ,1,プレステのコントローラが標準で使えるのも地味に便利。
操作のしやすさ,1,アクションは6種類の武器にそれぞれ4つの特殊性能が用意されているので誰でも手に馴染むものが見つかると思います。戦闘のテンポも非常によくさくさく遊べます。
操作のしやすさ,1,どの武器でもいつでも回避が使えるため適当に攻撃回避攻撃回避ってしてるだけでそれっぽくなる。だれでも簡単に上質なアクションを楽しめるようになっている。
操作のしやすさ,1,操作性も非常によいので爽快
操作のしやすさ,1,主人公の回避性能が高く、ダッシュ回避しながら敵を倒しまくる爽快感が気持ちいい
操作のしやすさ,1,アクションも簡単でプレイしていく内になんとなくわかってくるシステム
操作のしやすさ,-1,操作が単調になりがち
操作のしやすさ,0,コントローラーが認識されなかったので、キーボード・マウスでプレイしたけどクリアできたので慣れれば何とかなる
操作のしやすさ,1,アクションの手触りがよく動かしていて気持ちがよい
操作のしやすさ,1,良テンポなゲーム性が遊びやすさに拍車を掛けてますので、是非プレイして楽しんでほしいゲームです。
操作のしやすさ,-1,"ステージの選択肢というか隠し要素的な選択肢がわかりにくい"
操作のしやすさ,1,操作性は軽いしわかり易い
操作のしやすさ,1,操作感も抜群に良いし、アクションが苦手な人のためのアシストモードもついている。
操作のしやすさ,1,敵の攻撃パターンはわかりやすいので結構適当ビルドでもクリアできるようになり、色々試してるうちにスタッフロールまでの10勝まではしっかり間が持つゲーム性。
操作のしやすさ,1,気楽にやりやすい
操作のしやすさ,1,アクションは俊敏で動かしてて楽しい
操作のしやすさ,1,"操作性も良いと思います"
操作のしやすさ,1,アクションゲームが不得意な人でも、ストレスなく楽しめる設計になっている。
操作のしやすさ,1,良質な操作性
操作のしやすさ,-1,キャラの操作性は高いため十分に及第点だが､高評価に値するような革新的な要素はない。難易度の適切さ:-1 進捗の明確さ:-1 目的の明確さ:-1 視聴覚の魅力:-1
操作のしやすさ,1,プレイヤーの思うさまに操作出来、ストレスを与えません
操作のしやすさ,1,プレイ前は操作が難しそうに感じていたが、思ったよりも簡単だった 基本的に敵を細かく狙う必要はなく、オートエイムしてくれて気持ちよくプレイできた
操作のしやすさ,1,簡単な操作性に加え中毒性がありやめられません！
操作のしやすさ,1,レスポンスが非常に良くてアクションが爽快で、一周、もう一周と遊びたくなります。
操作のしやすさ,1,操作が簡単。難しいコンボなどは必要ない(スキル毎の相乗効果を考えると多少は必要かも)とにかく直感的な操作でわかりやすい。
操作のしやすさ,1,操作は簡単なので、うまい人ならサクサク進められると思います。
操作のしやすさ,1,ボタン連打だけでクリアできるくらい強くでき、アクションが苦手な人でも大丈夫
操作のしやすさ,1,キャラを動かす爽快感があり、快適に動かせるので不満はありません
操作のしやすさ,-1,コントローラの認識バグがあり、疑似プロコンのジョイパッドではsteamを再起動したりゲームを何度も再起動しなければ認識しません。キーボードでクリアするのは余程の人じゃないと無理ですよ。要求されるアクションが多過ぎるので。コントローラでもガチャプレイになりがちで指の各関節が痛くなります。
操作のしやすさ,1,アクションの手触りが良く、武器の種類やビルドによって手触りの良さはそのままにプレイ感がかなり変わってくる所が良かった
操作のしやすさ,1,コントローラの設定を変えたらスムーズになりました。マウスはスムーズ滑らか
操作のしやすさ,-1,繊細な操作が必要で適当にやってるとすぐ死にます
操作のしやすさ,1,操作性が良く、キャラを動かすだけで爽快感があります
操作のしやすさ,-1,攻撃避けるより突っ込んでガチャガチャしてるほうが強いデザインが残念でした
操作のしやすさ,1,操作は直感的であり、キャラを動かしてて楽しいと感じた
操作のしやすさ,1,操作性がとても良く、どのボタンを押してもコンボに繋げていけるのが気持ちいい
操作のしやすさ,1,操作性とかは全く心配いらないからどうぞ。
操作のしやすさ,1,キーボードよりパッドのがいいと思う
操作のしやすさ,1,テンポが良く、アクションもキビキビして気持ちいい
操作のしやすさ,1,ゲームパッドを初めて手にしたようなアクションゲーム初心者でも分かりやすく楽しめてます。
操作のしやすさ,1,ゲームとしては操作感とアクションがとても気持ちよく、キャラクターを動かしているだけで楽しい。
操作のしやすさ,1,シンプルな操作で爽快アクション
操作のしやすさ,-1,アクション苦手な人は苦労すると思う
操作のしやすさ,1,攻撃が忙しく、ダッシュで避け、ダッシュに攻撃を絡めたりと、プレイ感覚はまんまWoLって感じ。
操作のしやすさ,1,遊んでいてストレスが少ないのが素晴らしい
操作のしやすさ,1,操作は軽快で動かしていて楽しい。
操作のしやすさ,1,操作性も最高！
操作のしやすさ,1,ヘルプからモードをチェンジすると、一回やられるごとにキャラの耐久度が上がっていきます そのため初心者にも優しい設計に作られています
操作のしやすさ,1,操作感がとても気持ちがいい
操作のしやすさ,-1,操作が結構忙しく指が疲れる
