aspect,pos,neg,neu
操作のしやすさ,"- 操作性が無駄なく、シンプルで初心者でも楽しめる。  
- アクションゲーム初心者でも、かわいい主人公を見届けるために最後まで楽しめた。  
- アクションゲームの品質が高く、軽快に動かせる操作感が魅力。  
- ダッシュや壁ジャンプが解放されることで、操作の楽しさが増し爽快感も得られる。  
- 操作へのレスポンスが良く、明快な当たり判定でストレスが少ない。  
- 初期の段階での操作制限はあるが、後にスムーズに楽しめるようになる。  
- 操作性が良く、キーボードやパッドのどちらでも快適にプレイできる。  
- アクションゲームとしての気持ち良さがあり、視認性も良好。  
- シンプルな操作でスピーディなアクションが楽しめ、自由度が高い。  
- アニメーションが滑らかで、快適な操作性が全体の楽しさを引き上げている。  ","- ベンチに座らないと装備変更ができず、移動が不便でストレスを感じる。
- ファストトラベルの駅名が地図の地区名と一致しないため直感的ではなく、マップが使いづらい。
- 操作に慣れるまでは時間がかかり、移動がダルい。
- ダッシュにクールタイムがあり、敵に当たるとノックバックするため操作が快適ではない。
- ジャンプ操作に癖があり、入力判定が厳しいためストレスを感じることが多い。
- コントローラーの設定やレスポンスに不具合があり、特に斜め入力に問題がある。
- 操作キャラは近接攻撃しかできないのに対し、敵キャラは強力で移動が面倒になる。
- 移動やボスリトライが面倒で、スキルやアイテムを集めるのに時間がかかる。
- 操作性が劣悪で、攻撃とジャンプの同時使用が難しく、全体のユーザビリティが欠如している。
- グラフィックや操作性など一部は高品質だが、全体的にストレス要因が多い。","- 操作に自信がある人には問題ないが、序盤はアクションが少なく辛い印象がある。
- 中盤から機動性や攻撃手段が増え、楽しさが増す。
- アクションにはガードやロールがなく、ダッシュとジャンプを駆使して戦う必要がある。
- 操作感は良好で独特な世界観を楽しめるが、精密動作を要求される場面もある。
- 操作アクションが少なく移動の自由度が低い点がストレスになり得る。
- 中盤以降はアクションが自由にできるようになり楽しくなる。
- 操作は単純で理解しやすいが、移動関連には工夫が欲しい。
- 操作感には問題ないが、細かい部分でストレスを感じることが多い。"
難易度の適切さ,"- ストーリーが進むにつれて難易度が上がり、やりごたえが増す。  
- ボス戦が非常に難しく、特に終盤は苦戦必至。  
- 雰囲気はカジュアルだが、実際の難易度は高めである。  
- 初見では厳しいボスも多いが、パターンを覚えれば突破可能。  
- 難易度は高いが、理不尽さはなく探索を重ねれば達成感を得やすい。  
- セーブポイントの工夫がなされており、クリアしやすいバランスが取られている。  
- 繰り返し挑戦を通じて、プレイヤーの成長を感じられる。  
- 敵の行動パターンを把握すれば、攻略が可能な設計が評価される。  
- 隠し要素やエンドコンテンツが充実しており、やり込み要素が豊富。  
- 高難度だが、プレイを続けることでスキル向上が見込める楽しさがある。  ","- 壁ジャンプが特に難しく、挫折する可能性がある。
- ボス戦での再戦の手間がストレス要因となる。
- セーブポイントやファストトラベルの配置が不足している。
- プレイヤーの半数以上がゲームを辞めることがある難易度の高さ。
- サブコンテンツのボスが特に難しいが、全体的にはクリア自体は可能。
- 難易度が高いが、攻撃パターンを覚えて反撃する達成感もある。
- マップが広く、強いボスが多いためリトライが必要。
- ゲーム難易度は全体的に厳しく、特に序盤は辛い。
- ボス戦の難易度が高く、リトライコストも厳しい。
- 難しさを乗り越えれば達成感が得られるが、アクションゲームが苦手な人には不向き。","- 難易度は高めで、アクションゲームが苦手な人には苦戦する可能性がある。
- プレイヤーの上達を実感できる作りになっており、徐々に難所をクリアできるようになる。
- 一部のボス戦やマップ移動の難しさがプレイに影響するかもしれない。
- 難易度はしっかりと調整されており、子供には簡単すぎず、ハードすぎるわけでもない。
- 敵の攻撃パターンを覚える必要があり、特定の状況下では理不尽さを感じることもある。
- 探索要素があり、マップが不親切な設計になっているため、地形を覚える必要がある。
- 隠しエリアやボスの位置を知るために情報を集めることが要求される。
- 全体的には詰むほどの難しさではなく、挑戦することで得られる成長感がある。
- 難易度の高いアクションに挑戦しつつも、理不尽な場面もあるため注意が必要。
- ゲーム自体は難しかったが、プレイを続けられないほどの難易度ではなかった。"
進捗の明確さ,"- 達成率が98%に達した。
- 地図を埋めることに達成感を感じている。
- 地図が埋まっていく様子にワクワクしている。
- 最終的に達成率は99%になった。
- 努力して達成度を98%まで引き上げた。
- 全体的に達成感が高い評価となっている。","- 途中経過が良くても1回のミスですべてが台無しになる不安がある。
- アイテムや場所がわかりにくく、ゲーム進行に影響を与える。
- ダメージや敵のHPが数値で表示されず、ストレスを感じる。
- 仲間の成果が明確でないため、達成感が薄れてしまう。",
目的の明確さ,"- ストーリーが分かりやすくシンプルで良いと感じた。
- 全体像は不明瞭だが、話が進むにつれてしっかりとしたストーリーラインが見えてくる。","- 目的地が分からず、進行が困難なことがある。
- 主人公の目的が不明瞭で、戦う理由が考えられない。
- 一部の要素は攻略情報がないと理解できず、ゲームを終える可能性がある。
- 真エンディングの解放条件が分かりづらい。
- ストーリーを理解するには、かなりのやりこみが必要。
- ストーリー目的での購入はあまり推奨できない。
- 明確な行動指針がなく、迷走しやすい。
- 進行に関する説明が少なく、探索が無駄になることもある。
- ヒントがないため、ストーリーが理解できない人も多い。
- 目標が提示されないため、ゲームの目的が分からない。",
視聴覚の魅力,"- ムシのキャラデザインが可愛く、雰囲気や音楽が全体を楽しませている。
- 美麗なアートスタイルで、キャラクターと背景が綺麗に描かれている。
- 背景が細かく描き込まれており、視認性も問題ない。
- プレイヤーを引き込むメランコリックなBGMや魅力的な演出が印象的。
- キャラクターの可愛さやユーモラスなアニメーションが素晴らしい。
- 幻想的なビジュアルとBGMが秀逸で、没入感を与えている。
- 様々なテーマに基づく多様な美しいバイオームや哀愁を感じる音楽が魅力的。
- ボリュームや隠し要素が多く、やり込む要素が充実している。
- 手書きのグラフィックとアートワークが高品質で、ストーリーも深い。
- クオリティの高いアクションゲームで、全体的に完成度が非常に高い。","- 見た目は可愛いが、プレイすると厳しい内容かもしれない。
- コミカルな雰囲気の中にグロテスクな要素があり、不快感を覚える人もいる。
- アニメ調でも攻撃の表現が物足りなく、全体の雰囲気が台無しになっている。
- 虫をデフォルメしたキャラが多く、特に気持ち悪い敵も存在するため虫が苦手な人には向かない。
- 全体的に暗くて気持ち悪い世界観で、特に中盤からエグい敵が出てくる。
- 難易度が高く、視覚的な不快さがプレイを難しくしている。
- エフェクトが多く、キャラクターや敵弾が見えにくい。
- グラフィックはあまり美しくなく、地下世界の探索が退屈に感じる。
- 地形の詳細描写が不快感を引き起こし、気分を悪くする可能性がある。
- 初期のデザインは優れているが、要素がうまく組み合わさっていない。","- サウンドトラックはオススメで、特にキャラデザと世界観が評価されている。
- 世界観はカワイイ要素とおぞましい要素が混ざっていて印象的。
- アクションの爽快さやボスの数が多いことは評価されるポイント。
- BGMは場所によって変化し、世界観を引き立てているが、一部ビビリ要素もある。
- 敵の合図が音声で、攻撃パターンを把握するのに重要な役割を果たしている。
- グラフィックについては賛否が分かれ、特にトゲトゲの触手が拒絶反応を引き起こすことがある。
- キャラクターや背景の動き、BGMには独特の工夫が感じられる。
- 全体の色調が淡白なため、プレイ中に味気なさを感じることがある。
- 雰囲気は良いが、ゲーム全体の印象は神ゲーとは言えない。
- キモカワが好きな人には好まれる要素がある。"
遊ぶ意義,"- 音楽や世界観が素晴らしく、楽しむ価値が非常に高いゲームだと感じた。
- ボス戦の達成感や多彩なステージに感動し、深い物語が心に響いた。
- ゲームデザインやレベルデザインが素晴らしく、非常に高い完成度を誇っている。
- 休日を費やす価値があるほどの面白さで、やりがいも感じられた。
- 達成感や自己成長を実感でき、プレイすることが有意義だった。
- ストーリーは重厚であり、キャラクターへの愛着がわく。
- 価格以上の価値を感じ、メトロイドヴァニア系ゲームの中で最高峰の作品だと思う。
- エンディング後もやり込み要素が豊富で、ストーリーの裏側も楽しめた。
- これまでのゲーム体験の中で特別な意味を持つ作品となり、絶対にプレイしてほしい。
- 遊ぶことによって心が打たれ、感情がシンクロする素晴らしい体験ができた。",,
没入感,"- ゲームに夢中になり、時間を忘れるほど楽しんだ。
- 主人公のかわいらしいモーションが気に入っている。
- 戦闘の難しさはカタルシスを感じさせ、興奮を呼ぶ。
- 深い没入感が味わえる世界観に引き込まれた。
- 難易度が高めで、反射神経が求められるプレイが楽しい。
- BGMと映像が見事にマッチし、没入感を強化する。
- 探索が楽しく、クリアするまで一気にハマった。
- 雲密なストーリーとキャラクターの背景が考察を促す。
- ストレスフリーで快適にプレイでき、無心で楽しめた。
- 幅広いプレイヤーにおすすめできるゲーム体験だった。","- 周囲の状況に気付かなくなるほどの没入感は感じられなかった。
- プレイ中は周囲に注意を向けず、ゲームに没頭していた。
- 難易度が非常に高く、心臓がバクバクするほど緊張する瞬間が多かった。
- 時間をかけた挑戦でも、あと一歩でやられてしまうことが多い。
- 手汗を拭きながら深呼吸して再挑戦する場面があった。
- これにより、没入感が著しく削がれてしまった印象がある。
- 緊張感が持続する一方で、ストレスも感じていたようだ。","- 周囲の状況に気付かなくなるほどゲームに集中する。
- グロテスクな見た目は攻略に集中すると気にならなくなる。
- ボス戦では敵の動きを見極めるため、練習が必要。
- ゲーム内にあらすじがないため、NPCとの会話を記録することが推奨される。
- 物語に引き込まれるためには、情報の整理が重要である。
- 基本的にゲームには悲壮感が漂っている。
- プレイ中の没入感が周囲への意識を薄れさせる。
- ボスとの戦いはスピード感があり、判断力が求められる。
- NPCとの会話を記録することで、ストーリーがより理解しやすくなる。
- ゲームプレイは一種の集中力を必要とする。"
成長感の得やすさ,"- 主人公の剣「ネイル」を強化し、バッチを装備することでプレイヤーの個性が出せるシステムが楽しい。
- 難易度は高いが、対策を練ればクリアできる仕組みになっていて初心者でも挑戦しやすい。
- 敵との戦闘を繰り返すことで成長が実感でき、達成感を得られるデザインが評価されている。
- 新しい能力を獲得するにつれてアクションが楽しめ、探索にも厚みが増す。
- ボス戦は学習要素が強く、何度も挑戦することで操作が上達し爽快感を味わえる。
- 難易度設定が絶妙で、クリア後もやりこみ要素が豊富に詰まっている。
- ゲーム全体の進行とともに自分のプレイスキルが向上する感覚が面白いと感じられる。
- アクションが苦手なプレイヤーにも配慮されており、努力すればクリアできるバランスが魅力的。
- 失敗から学び、成長していく感覚がこのゲームの大きな楽しさの一つである。
- 幅広いプレイヤーが楽しめるような調整がされており、挑戦の楽しさを感じられる作品である。","- マップを探索してもボスが見つからず、攻略サイトを見て自分の非を痛感した。
- ボスの個別練習が可能で、これは親切だが心が折れそうになる要素もある。
- 成長感が乏しく、強くなる喜びを求める人には向かない。
- 死亡しながら攻略法を覚えていくスタイル。
- ラスボスが弱いと感じるようになったが、プレイヤーのレベルアップが特に求められる。
- 最終的に真ラスボスには達成できず、かなり頑張ったが諦めた。
- ラスボスと真ラスボスの強さの差が大きく、達成感を感じにくい。","- 何度も挑戦することが求められるゲームである。
- 戦闘力が高い人に向いているが、根気があればアクションが苦手な人でもクリア可能。
- ボス戦に慣れるまでに100戦程のプレイが必要。
- ノーマルエンドまでは進行がスムーズだったと感じる。
- 難易度は高いと言われるが、理不尽なものではないと考えている。
- 一部のボスでセーブポイントが遠く、ストレスを感じることがある。
- 通常エンディングまで詰むことはないと思われる。
- 序盤は簡単で、徐々に難易度が上昇する。
- プレイヤーの技術次第でクリアの難易度が変わる。"
好奇心への刺激,"- 隠し要素やボスが多く、探索が楽しい。
- 新しい場所を見つけるのがワクワクする。
- 地図は休むごとに埋まる珍しいシステムがある。
- ストーリーも奥深く、やりこむとショートカットが発見できる。
- 新エリアに入るたびに心が躍る。
- 謎の多い世界観が探索を促進する。
- 探索するのが楽しく、冒険心をくすぐられるデザイン。
- ストーリー考察やキャラの裏設定が興味深い。
- 各エリアには隠されたアイテムや人物が多く世界観が理解できる。
- 次回作の発売が楽しみで、まだまだやり込みたい要素が多い。","- 探索に詰まったらWIKIを利用することを勧めている。
- ストーリーは断片的で、予測はできるものの理解が難しい。
- 探索の難易度が高く、隠し要素をクリア後にカンニングしたことを述べる。
- 登場人物のセリフが意味深で、プレイ回数が少ないと世界観を把握しづらい点がある。
- シナリオには興味があるが、ネタバレを見てしまうかもしれない。","- トゥルーエンドを目指すには一定のゲームスキルや根性が必要である。
- ゲームの進化や試合の進行を調べたいと思っている。
- 探索すべき世界が明確に設定されている。
- コンテンツについての新しい情報が求められている。
- 自分で情報を掘り下げる楽しさがあるプレイヤーに向いている。
- まだ100%達成しておらず、やり込み要素が残っている。
- ヒントが少ない探索が多く、それを楽しむことができる。
- 「白い宮殿」のステージは非常に難易度が高く、今までのアスレチックコースが簡単に思えるほどである。
- ストーリーは各所に散りばめられており、探索によって解明する形式になっている。
- ゲームの過去についての理解は不十分だが、それに対する不満はない。"
自由度,"- 攻略ルートに自由さがあり、プレイヤーの選択肢を感じることができる。
- アクションは高難度だが、システムがシンプルなので初心者でも楽しめる。
- キャラ性能をカスタマイズでき、試行錯誤を楽しむことができる。
- 探索の自由度が高く、ルートに束縛されない冒険が可能。
- ボス戦の難易度を調整できるのも大きな魅力である。
- 操作性が良く、思い通りにキャラクターを動かせて快適。
- エンドコンテンツが充実しており、クリア後も遊び続けられる。
- マップは広大で複雑につながっているため、自由に探索できる。
- チャームの組み合わせによって多様なビルドを構築できる。
- 高難易度でやり込み要素が豊富なので、やろうと思えばいくらでも楽しめる。","- マップの広さが自由度を提供する一方で、ストーリーが断片的になりがちで理解が難しい点がある。
- ボス戦での苦戦により、ストーリーの流れが分からなくなることがある。
- 武器のバリエーションが乏しく、攻撃が単調になってしまう。
- 操作アクションが限られており、移動が制約を受けるため負担が感じられる。
- 難易度選択がないため、プレイヤーの好みに応じた調整ができない。
- マップの広さや自由度の高さから、迷子になることが多く困難に感じることがある。
- 自由な立ち回りよりも、相手の動きに合わせるプレイが求められる。
- チャームの装着が限られているため、組み合わせの楽しみが少ない。","- ストレスなく遊べるが、難易度に物足りなさを感じる。
- 必須でないコンテンツが存在する。
- 探索の自由度が高く、それを嫌がる人には難かもしれない。
- 実績を追わなければ、ゲームへの向き合い方は自由。
- 自由度が高く、プレイヤーに突き放した印象がある。
- 武器やスキルを強化して再戦するスタイルが可能。"
