aspect,np,review
操作のしやすさ,1,操作していて楽しさを感じることのできるものとなっていました
操作のしやすさ,1,操作感に関しては爽快アクション+シューティングRPGといったところで、私自身フロムゲーが好きなので高難易度アクションRPGを期待して難易度ハードで開始しましたがすぐにノーマルにし、それからクリアまでノーマルでプレイしました。
操作のしやすさ,1,ゲーム内のチュートリアルがかなり親切なので詰まる事はあまりない
操作のしやすさ,-1,"キーボード+マウス操作に最適化されていない点が不満だった"
チャレンジ,0,私はあくまで爽快アクションRPGなのであって死にゲーではないので、ほどよくストーリーとゲームを楽しみたいならノーマルで遊ぶことをおすすめします。
チャレンジ,1,難易度も変えられるのでストーリーだけサクサク楽しむこともできる
チャレンジ,-1,"-1"
進捗感,-1,"-1"
目的とルール,-1,"-1"
視聴覚,1,上質なシナリオ、キャラデザイン、モデリング、世界観と映像表現が素晴らしいと思った
視聴覚,1,素晴らしいＢＧＭはそのままに、特に美しい廃墟群、エリアごとに明確に描き分けられた美しいフィールド
視聴覚,1,グラフィックはめっちゃ綺麗だし、BGMが最高にイカしてる。このゲーム、BGMが伴奏やコーラス等が分けて収録されていて、ゲームの進行度等に合わせて同じBGMでも全く別の雰囲気になったりします。
視聴覚,1,音響効果にもこだわりがあり臨場感、リアル感がすごい
遊ぶ意義,1,このゲームには20時間超えのドハマリをおこし、クリアしたあともまだこの世界に入り浸っていたい気分。狭い部屋で家族と過ごす時間よりも広大なこの画面の世界に夢中になっていたのは事実です。聖剣伝説系統が好きな自分にはぴったりだった。
没入感,1,このゲームには20時間超えのドハマリをおこし、クリアしたあともまだこの世界に入り浸っていたい気分。狭い部屋で家族と過ごす時間よりも広大なこの画面の世界に夢中になっていたのは事実です。
没入感,1,世界観に引き込んでくれると言う意味では Portal 2 に通じるものがあるかも知れません
成長感,1,ゲームが進んでレベルが上っていくとどんどん戦闘も楽になって楽しくなります
好奇心,0,真珠湾降下作戦や、各モデルの誕生秘話等も明らかにされていないので、次回作はぜひ戦闘の楽しみを重視して、世界観を広げるような外伝的な作品をお願いしたいです
好奇心,-1,ハッキングのところでザンファインというゲームを思い出しました。あれぐらいドカーンとできたら良かったのに。
自由度,1,難易度はいつでも変えられるの？ゲーム中基本的にいつでも変更可能です
