aspect,pos,neg,neu
操作のしやすさ,"- 操作していて楽しさを感じるゲームで、高難易度を期待したがノーマルでのプレイが快適だった。
- カメラ視点のカスタマイズが詳細で、爽快な操作感と親切なチュートリアルが好評。
- アクションはスタイリッシュで、適当なボタン操作でも見栄えの良い動きが楽しめる。
- 操作性は高く、特に回避や攻撃がスムーズで楽しい。
- オープンワールド的なフィールドの探索が軽快で、飽きが来ない内容。
- 操作に対するレスポンスが良好で、初心者でも楽しめる工夫が多い。
- 自動攻撃やオートモードがあり、アクションが苦手な人にも配慮された設計。
- 視覚的に楽しめるアクションで、様々な視点切り替えがスムーズだった。
- プレイ中の難易度調整が簡単で、ストレスを感じずに楽しめる。
- キャラクターの動きが軽快で非常に気持ち良く、全体的な操作性も充実している。","- キーボードとマウスの操作性が悪く、快適にプレイできないと感じた。
- 操作説明が不足しており、特にキーボード操作に不便を感じた。
- Xboxコントローラーなどのゲームパッド使用を推奨する意見が多かった。
- カメラの動きがもっさりしており、フリーカメラがないため視点操作が難しい。
- 操作方法が複雑で、特に移動や回避操作がストレスだった。
- マップやミニマップが使いづらく、目的地にたどり着くのが難しかった。
- シューティング部分の操作性が難しく感じるとの意見もあった。
- 簡単な操作ができても、敵の動きや自身の動きがわかりづらいため作業的に感じることがあった。
- カメラ操作に遅延があることや、アクションが直感的でないことがストレスとなった。
- コントローラーが必須であるという意見が強く、キーボードとマウスでは満足な操作ができないと評価された。","- イージーモードではオートで進行し、戦闘中は画面を見るだけで負担が少ない。
- カメラ操作は難しかったが、調整を続けて成功したと感じる。
- 最初の一時間は攻略サイトを参照した方がアクションが苦手な人には役立つ。
- ハッキングやロックオン機能をチュートリアルで説明すべきと感じている。
- 操作性は独特で、慣れることで没入感が変わると思う。
- 移動が面倒でも個人的には許容範囲だった。
- コントローラーでの操作を推奨しており、キーボードマウスは厳しいと感じた。
- 操作に慣れてきたら難易度を上げてアクションを楽しむことができる。
- ジャンプにはコツが要り、対空しながらの操作が難しいと感じた。
- プレイに少しの不満はあるが、大きな支障は出ないと述べている。"
難易度の適切さ,"- このゲームは爽快アクションRPGであり、ノーマルで遊ぶとストーリーを楽しみやすい。
- ハードモードでは敵が強く、イージーモードなら誰でもクリアできる難易度になっている。
- 操作を把握すればHARDでも簡単で、意図的なレベル上げは非推奨。
- イージーモードにはオートチップ機能があり、ストーリーを進めやすくなっている。
- 難易度が選べるため、プレイヤーのスキルに応じた楽しみ方ができる。
- アクションが苦手な人でも、イージーモードでサクサク進められる。
- ノーマルでも苦戦する部分が少なく、比較的クリアしやすい。
- 簡単な難易度調整により、誰でも安心して楽しめるバランスが整っている。
- シビアな難易度調整があっても、プレイヤーのペースで進めることが可能。
- 初心者でも楽しめる仕様が多く、ストーリーや世界観に夢中になれる。","- チュートリアルの難易度が非常に高く、アクションが苦手な人には辛い。
- ハード以上の難易度は理不尽で、ノーマルを推奨する声が多い。
- EASYモードでのプレイを強く推奨する意見がある。
- 初見時にボス戦で理不尽な難しさを感じたプレイヤーも存在。
- セーブポイントが少なく、序盤でつまづく可能性がある。
- シューティングパートの難易度が特に高く、攻略が難しいとされている。
- ゲームの進行に応じたチップの活用が重要で、設定次第で難易度が変わる。
- 高難度の挑戦に苦しむプレイヤーが多く、ストレスを抱える場面が多い。
- 難易度調整がうまく行かないと、特に終盤のシューティングが辛い。
- 初見洗礼が厳しく、全編EASYでのプレイを選ぶ方が楽な場合が多い。","- 慣れるまで難しいが、2~3時間後には慣れる。
- 難易度を下げることでストレスなく戦闘が楽しめる。
- 2週目以降は強ボス以外を瞬殺できるが、別ゲー感が出る。
- ノーマルまでなら適当に遊んでも倒せるが、ハード以上は厳しい。
- イージーにして退屈な戦闘を省略して物語を進めるのも良い。
- アクションは爽快だが内容が浅いと感じる。
- 難易度設計が困難になっている印象がある。
- アクションゲームに不慣れな人には救済措置がある。
- 難易度はノーマルから始めるのが推奨される。
- 難易度が低く爽快感はあるが、歯ごたえが無いと感じるプレイヤーもいる。"
進捗の明確さ,"- エンディングではメッセージが表示され、セーブデータにマークが付けられる。
- ストーリーは難解だが、Eエンドに進むうちに理解できる情報が増えていく。
- ゲームはスムーズに進行し、行き詰ることはなかった。
- 達成感が非常に高かった。",,
目的の明確さ,"- ストーリーを楽しむことが重要なゲームである。
- ゲーム内情報によりストーリーが理解しやすい。
- マップ上の赤い点や丸が次の目的地を示すため、迷わない。
- 一連のストーリーとして捉えるのが適切である。
- 目的は敵との戦闘や機械生命体への憎しみと共感を含む。
- 自我と感情を持つ機械生命体との出会いが葛藤を生む。
- エピソードの役割が明確で、内容が理解しやすい。
- 感動が生まれる理由はエピソード構成にあると思われる。
- 物語を進める目的が明確である。
- 制作者の意図を理解した。","- 全体的なテーマが嘘や欺瞞に変わってしまったと感じる。
- ストーリーの進行方向が不明確で、行動の目的が変わらない。
- 設定はあるが内容が薄く、目的地へのナビが不十分。
- ストーリーの説明が不足しており、もっと情報が必要だと思った。",
視聴覚の魅力,"- 作品全体が丁寧に調和された素晴らしいもので、高水準のグラフィックや音楽が評価されている。
- 美しいフィールドや廃墟の描写が印象的で、特にBGMの工夫が素晴らしい。
- アクションシューティングRPGとしての完成度が高く、探索やクエストも楽しめる。
- 2Bのキャラクターデザインに対する賛辞が多く、視覚的魅力が際立っている。
- 音響効果やBGMが物語や世界観を引き立て、エモーショナルな体験を提供している。
- グラフィックと音楽の美しさが互いに補完しあい、没入感を高めている。
- ストーリーやキャラクター、演出が魅力的で、プレイヤーを引き込む要素が満載。
- アクションパートやモーションが素晴らしく、爽快感がありつつスタイリッシュなプレイが楽しめる。
- 儚い世界観と感情に訴えかける音楽が、プレイヤーの心に深く響く。
- 全体として、ビジュアル、音楽、ストーリーの三拍子が揃った傑作として高く評価されている。","- 前作のレプリカントが自分には合っていたと感じている。
- シューティングが単純で短いため、残念に思っている。
- カメラワークが悪く、アクションに爽快感がない。
- 廃墟都市MAPでの白く点滅するバグがプレイに影響している。
- ストーリーや音楽には感情移入できず心が動かされなかった。
- 2Bのデザインや美しさは評価しているが、感情移入が難しかった。
- アクション要素に対する不満が強く、総じて印象が良くない。
- キャラクターのデザインの良さが際立つ一方、システム面の改善が必要と感じている。
- フィールドの広さやグラフィックの向上が求められる。
- ゲーム全体の完成度は低く、量産型の印象が残る。","- 解像度はもう少し高めが望ましいが、キャラデザや雰囲気が魅力的で心を惹かれた。
- テクスチャの粗さはMODで解決可能で、2Bのデザインが特に好き。
- グラフィックは綺麗ではないが、世界観やBGM、ストーリーが優れており満足している。
- ムービーはカクカクしていて画質も良くないが、プレイには支障がない。
- モノクロシーンが見づらいことがあるが、ゲームの楽しさに貢献している。
- ムービー中のカクツキが気になるが、世界観と操作性は良好。
- グラフィックはPS3級と感じる部分もあるが、公式アップデートの期待がある。
- キャラデザや声優のクオリティが高いと評価されている。
- 戦闘エフェクトは美しく、風景の雑さが気にならない人には楽しめる。
- 半額で購入したためコストパフォーマンスは非常に良いと感じている。"
遊ぶ意義,"- ゲームをプレイすることは有意義で、特にストーリーの深みが心に残った。
- アクションと物語のバランスが取れており、爽快感とストーリーを同時に楽しめる作品だと感じた。
- ストーリー展開に考えさせられる要素が多く、特にキャラクターに感情移入できた。
- プレイ中に時間を忘れるほど没入し、クリア後もこの世界に浸りたいと思った。
- ゲームは完成度が高く、全てのゲーマーにプレイしてほしい良作品だと評価された。
- ストーリーは約束された感動があり、特にエンディングでの温かさが印象的だった。
- ゲームが問いかけるテーマに対し、考慮し続けることができた。
- グラフィックや音楽も素晴らしく、プレイし続ける価値があると強調された。
- 人間とアンドロイドの関係性について考える内容が深く、人間らしさを再考させる余地を与えた。
- シリーズの最初の1本としてもお勧めで、そこから得るものが多いと感じられた。","- 技術的には標準的だが、爽快感のあるバカゲーを期待している。  
- ストーリーが短く、敵の種類やトータル戦闘数が少ない点が気になる。","- アンドロイドと機械生命体の戦争をテーマにしたストーリーでは、機械が感情を持ちながら戦い続ける。
- ゲームの構成は3週目までが1つの""週""となっており、シナリオに意味があると感じる。
- 世界観に浸れる要素は多いが、シナリオには惜しい部分がある。
- ビジュアルは美しく、過去の自分を思い出しながらプレイするのが楽しい。
- ストーリー重視であれば購入する価値があるが、探索やアクション要素は薄め。
- ストーリーが面白く、個人的には満足しているが、アクション面には物足りなさを感じる。
- 「人間らしさ」の素晴らしさと馬鹿らしさを感じる内容になっている。"
没入感,"- ゲームに非常に夢中になり、集中してプレイしていた。
- 周囲の状況に気付かなくなり、時間を忘れるほど引き込まれた。
- ストーリーに感情移入し、何度も泣きながらプレイした。
- グラフィックや音楽が素晴らしく、世界観に没入できた。
- カスタマイズ可能なUIも使いやすく、没入感を高める要素だった。
- 最終エンドまでの展開が斬新で、全てが救われる感覚を味わった。
- プレイ中はただの操作が楽しく、ストーリーに没頭した。
- いくつかの周回をしても苦に感じず、スムーズに進められた。
- 映画のような感覚でストーリーを楽しむことができた。
- 何周もプレイしたことを忘れるほどの引き込みを体験した。","- プレイには非常に没入し、周囲を気にしなくなる。
- ゲームが進行するにつれ、情緒が不安定になる。
- プレイが原因で日常生活に支障をきたすことがある。
- 物語展開に疑問を感じることが多い。
- ストーリーに入り込むと戦闘アクションを純粋に楽しめない。
- 戦闘時に罪悪感を感じない環境が欲しい。
- 没入感の欠如がゲーム体験に影響を与えると思った。","- 特に不満はない。
- プレイ中は周囲の状況に気付かなくなった。
- ゲームに夢中になった。
- 感情移入し過ぎると胸が苦しくなる。
- のめり込みすぎには注意が必要。"
成長感の得やすさ,"- ゲームが進むにつれて戦闘が楽しくなる。 
- プレイヤーは自分の能力を実感でき、成長を感じることができる。 
- イージーモードでのクリアにより有能感を得られた。 
- 慣れてくると操作感が快適で、通常プレイでも楽しめる。 
- 育成要素があり、ボリュームも十分。 
- 難易度ノーマルでは爽快感があり、気軽に楽しめる。 
- ゲームバランスが良く、レベルアップと装備強化が重要。 
- 初心者でも遊びやすく、アクションが苦手でも工夫次第でクリア可能。 
- 楽に実績を解除できる作りになっている。 
- 救済措置が多く、誰でも楽しむことができるゲームとして好評。","- コツが分かるとクリアの快感が薄れ、レベル上げ後は敵を容易に倒せるため飽きやすい。
- プレイヤーの成長を感じにくく、避けながら攻撃するだけで終わるため、作業感が強い。
- 自分のスタイルに合わせて進められるが、戦闘が単調でワンパターンになる。
- 回復手段が豊富でアクションが苦手でも進めるが、逆に難易度の低さに不満を感じることがある。
- 総じて、爽快感はあるが、歯ごたえに欠けると感じることが多い。","- 慣れるのに時間がかかるが、数時間で慣れてくる。
- 成長感についての具体的な言及はない。"
好奇心への刺激,"- ゲームがどのように進化したかを調査したい気持ちが強い。
- たくさんのやりこみ要素があり、好きなコンボや武器の組み合わせを探求する楽しみがある。
- ストーリーの深さや設定の理解が進むほど、ゲームがさらに面白く感じられる。
- 複数回のプレイを通じて得られる新たな発見や伏線がある。
- エンディングやサブクエストを全て体験することが重要だと感じる。
- キャラクターの描写が物語の伏線に繋がっていることを実感する。
- ゲームが意表を突く展開を持ち続けるため、全体を通して常に楽しむことができた。
- 深く哲学的で、ストーリーが進むにつれて重苦しい展開に期待感を抱く。
- 前作や関連作品に対する興味が高まる。
- 周回プレイによって新しい情報が明かされ、やりこみ要素が充実していると感じる。","- 真珠湾降下作戦やモデルの誕生秘話が不足しているので、次回作では戦闘の楽しさや世界観の広がりを重視してほしい。
- 前作をプレイしていればもっと楽しめたかもしれないと感じる。
- 真エンドは2Bと9Sの会話での穏やかな終わりを見たかったが、物足りなさを感じている。
- 驚きは物語よりもゲームプレイにあると認識している。
- ABCDEルートの感想としてBルートはAルートの裏側を知れるが、基本は変わらないため飽きる人もいる。
- フルストーリーを理解するためには前作をプレイしている必要がある。
- もっと情報があれば良かったと感じている。
- シリーズのストーリーに興味がない人にはあまりお勧めできない。
- ストーリーのボリュームややりこみ要素が充実していれば神ゲーだったかもしれない。
- ストーリーに多くの不明点があり、考察が必要だと感じている。","- ゲームを楽しみたい場合、レプリカントを先にプレイすることを推奨する。
- ハッキングの部分でザンファインを思い出した。
- 攻略情報を調べずにプレイすることが望ましい。
- ゲームの進化について調べたかったが、あまり知られていない仕様があることに注意。
- 最初に合わないと感じたら、最後までプレイして再評価することを勧める。
- シリーズの世界観に慣れることが大切で、その世界観が好きな人は情報収集すると思われる。
- デバッグモードやチャプターセレクトを使うことも考えたが、通常プレイを選んだ。
- 攻略情報を調べると重大なネタバレのリスクが高いので、自力での初プレイを推奨。
- ゲームは基本的にTPSアクションで、マルチエンディングが用意されている。
- 物語を進めることを忘れずに楽しむことが重要。"
自由度,"- ゲーム中はいつでもプレイスタイルを変更できる自由がある。
- 自分好みの戦術や方法を見つける楽しさがある。
- 移動が軽快で操作感が良く、プレイが快適である。
- 難易度変更が可能で、プレイヤーの好みに応じた調整ができる。
- ストーリーやナレーションはスキップでき、進め方に自由がある。
- 収集要素ややり込み要素が豊富で、プレイ時間があっという間に過ぎる。
- カメラの設定が細かくでき、好みに合わせてプレイできる。
- オート機能を活用することで、ストレスフリーでプレイ可能。
- チャプターセレクト機能があり、クリア後も楽しみやすい。
- オープンワールド的な自由度は限られているが、良いストーリーを楽しめる。","- 物語における自由度が低く、日本の典型的なRPGに近いと感じる。
- 別キャラでのプレイに不満を抱いている。
- サブクエストが不要な場合も多く、ストーリーに関係ないクエストが鬱陶しいと感じる。
- システム面での制限が多く、自由度の高い探索要素やアクション要素が薄い。
- 複数ジャンルのゲームプレイが強制されることに不自由さを感じる。
- 前作に比べて武器の選択が少ないのが残念に思える。
- フィールドが小さく、自由に動き回れない点が残念。
- 自由度がほとんどないと感じ、移動やアクションを自動化すべきだと思う。
- オープンワールドを謳っているが、行けない場所が多い。
- 行動の自由度が非常に低く、使用キャラや進行が制限されている。","- 難易度を下げてスタイリッシュに遊ぶと楽しめる。
- プレイヤーは受け手としてゲームを体験するべき。
- 自分でプレイして機能選択を楽しむことが推奨される。
- オープンワールドだが、ロケーションの訪問順は制御されている。
- チャプター選択が可能になり、基本的に一本道のストーリーである。
- 最後の選択でプレイヤーに自由が与えられる。
- 難易度変更ができるので、課題は容易に解決できる。
- マップが狭く移動の自由度は低いが、キャラクターの動きが魅力的。
- 設定された自由と制限の中で工夫して進むことが求められる。
- ゲームの雰囲気やキャラクターに魅せられれば、退屈せずに楽しめる。"
